;preposition;Example;regular/irregular;Presente;;;;;;Pretérito Perfeito;;;;;;Pretérito Imperfeito;;;;;;Pretérito mais-que-perfeito;;;;;;Futuro do Presente;;;;;;Subjuntivo Presente;;;;;;Subjuntivo Pretérito Imperfeito;;;;;;Subjuntivo Futuro;;;;;;Infinitivo Pessoal;;;;;;Futuro do Pretérito;;;;;;Imperativo Afirmativo;;;;;Imperativo Negativo;;;;;Gerúndio;Particípio passado
decidir;;;R;decido;decides;decide;decidimos;decidis;decidem;decidi;decidiste;decidiu;decidimos;decidistes;decidiram;decidia;decidias;decidia;decidíamos;decidíeis;decidiam;decidira;decidiras;decidira;decidíramos;decidíreis;decidiram;decidirei;decidirás;decidirá;decidiremos;decidireis;decidirão;decida;decidas;decida;decidamos;decidais;decidam;decidisse;decidisses;decidisse;decidíssemos;decidísseis;decidissem;decidir;decidires;decidir;decidirmos;decidirdes;decidirem;decidir;decidires;decidir;decidirmos;decidirdes;decidirem;decidiria;decidirias;decidiria;decidiríamos;decidiríeis;decidiriam;decide;decida;decidamos;decidi;decidam;decidas;decida;decidamos;decidais;decidam;decidindo;decidido
referir;;;I;refiro;referes;refere;referimos;referis;referem;referi;referiste;referiu;referimos;referistes;referiram;referia;referias;referia;referíamos;referíeis;referiam;referira;referiras;referira;referíramos;referíreis;referiram;referirei;referirás;referirá;referiremos;referireis;referirão;refira;refiras;refira;refiramos;refirais;refiram;referisse;referisses;referisse;referíssemos;referísseis;referissem;referir;referires;referir;referirmos;referirdes;referirem;referir;referires;referir;referirmos;referirdes;referirem;referiria;referirias;referiria;referiríamos;referiríeis;refeririam;refere;refira;refiramos;referi;refiram;refiras;refira;refiramos;refirais;refiram;referindo;referido
fechar;;;R;fecho;fechas;fecha;fechamos;fechais;fecham;fechei;fechaste;fechou;fechámos;fechastes;fecharam;fechava;fechavas;fechava;fechávamos;fecháveis;fechavam;fechara;fecharas;fechara;fecháramos;fecháreis;fecharam;fecharei;fecharás;fechará;fecharemos;fechareis;fecharão;feche;feches;feche;fechemos;fecheis;fechem;fechasse;fechasses;fechasse;fechássemos;fechásseis;fechassem;fechar;fechares;fechar;fecharmos;fechardes;fecharem;fechar;fechares;fechar;fecharmos;fechardes;fecharem;fecharia;fecharias;fecharia;fecharíamos;fecharíeis;fechariam;fecha;feche;fechemos;fechai;fechem;feches;feche;fechemos;fecheis;fechem;fechando;fechado
aumentar;;;R;aumento;aumentas;aumenta;aumentamos;aumentais;aumentam;aumentei;aumentaste;aumentou;aumentámos;aumentastes;aumentaram;aumentava;aumentavas;aumentava;aumentávamos;aumentáveis;aumentavam;aumentara;aumentaras;aumentara;aumentáramos;aumentáreis;aumentaram;aumentarei;aumentarás;aumentará;aumentaremos;aumentareis;aumentarão;aumente;aumentes;aumente;aumentemos;aumenteis;aumentem;aumentasse;aumentasses;aumentasse;aumentássemos;aumentásseis;aumentassem;aumentar;aumentares;aumentar;aumentarmos;aumentardes;aumentarem;aumentar;aumentares;aumentar;aumentarmos;aumentardes;aumentarem;aumentaria;aumentarias;aumentaria;aumentaríamos;aumentaríeis;aumentariam;aumenta;aumente;aumentemos;aumentai;aumentem;aumentes;aumente;aumentemos;aumenteis;aumentem;aumentando;aumentado
acompanhar;;;R;acompanho;acompanhas;acompanha;acompanhamos;acompanhais;acompanham;acompanhei;acompanhaste;acompanhou;acompanhámos;acompanhastes;acompanharam;acompanhava;acompanhavas;acompanhava;acompanhávamos;acompanháveis;acompanhavam;acompanhara;acompanharas;acompanhara;acompanháramos;acompanháreis;acompanharam;acompanharei;acompanharás;acompanhará;acompanharemos;acompanhareis;acompanharão;acompanhe;acompanhes;acompanhe;acompanhemos;acompanheis;acompanhem;acompanhasse;acompanhasses;acompanhasse;acompanhássemos;acompanhásseis;acompanhassem;acompanhar;acompanhares;acompanhar;acompanharmos;acompanhardes;acompanharem;acompanhar;acompanhares;acompanhar;acompanharmos;acompanhardes;acompanharem;acompanharia;acompanharias;acompanharia;acompanharíamos;acompanharíeis;acompanhariam;acompanha;acompanhe;acompanhemos;acompanhai;acompanhem;acompanhes;acompanhe;acompanhemos;acompanheis;acompanhem;acompanhando;acompanhado
defender;;;R;defendo;defendes;defende;defendemos;defendeis;defendem;defendi;defendeste;defendeu;defendemos;defendestes;defenderam;defendia;defendias;defendia;defendíamos;defendíeis;defendiam;defendera;defenderas;defendera;defendêramos;defendêreis;defenderam;defenderei;defenderás;defenderá;defenderemos;defendereis;defenderão;defenda;defendas;defenda;defendamos;defendais;defendam;defendesse;defendesses;defendesse;defendêssemos;defendêsseis;defendessem;defender;defenderes;defender;defendermos;defenderdes;defenderem;defender;defenderes;defender;defendermos;defenderdes;defenderem;defenderia;defenderias;defenderia;defenderíamos;defenderíeis;defenderiam;defende;defenda;defendamos;defendei;defendam;defendas;defenda;defendamos;defendais;defendam;defendendo;defendido
lançar;;;R;lanço;lanças;lança;lançamos;lançais;lançam;lancei;lançaste;lançou;lancámos;lançastes;lançaram;lançava;lançavas;lançava;lancávamos;lancáveis;lançavam;lançara;lançaras;lançara;lancáramos;lancáreis;lançaram;lançarei;lançarás;lançará;lançaremos;lançareis;lançarão;lance;lances;lance;lancemos;lanceis;lancem;lançasse;lançasses;lançasse;lancássemos;lancásseis;lançassem;lançar;lançares;lançar;lançarmos;lançardes;lançarem;lançar;lançares;lançar;lançarmos;lançardes;lançarem;lançaria;lançarias;lançaria;lançaríamos;lançaríeis;lançariam;lança;lance;lancemos;lançai;lancem;lances;lance;lancemos;lanceis;lancem;lançando;lançado
mudar;;;R;mudo;mudas;muda;mudamos;mudais;mudam;mudei;mudaste;mudou;mudámos;mudastes;mudaram;mudava;mudavas;mudava;mudávamos;mudáveis;mudavam;mudara;mudaras;mudara;mudáramos;mudáreis;mudaram;mudarei;mudarás;mudará;mudaremos;mudareis;mudarão;mude;mudes;mude;mudemos;mudeis;mudem;mudasse;mudasses;mudasse;mudássemos;mudásseis;mudassem;mudar;mudares;mudar;mudarmos;mudardes;mudarem;mudar;mudares;mudar;mudarmos;mudardes;mudarem;mudaria;mudarias;mudaria;mudaríamos;mudaríeis;mudariam;muda;mude;mudemos;mudai;mudem;mudes;mude;mudemos;mudeis;mudem;mudando;mudado
resolver;;;R;resolvo;resolves;resolve;resolvemos;resolveis;resolvem;resolvi;resolveste;resolveu;resolvemos;resolvestes;resolveram;resolvia;resolvias;resolvia;resolvíamos;resolvíeis;resolviam;resolvera;resolveras;resolvera;resolvêramos;resolvêreis;resolveram;resolverei;resolverás;resolverá;resolveremos;resolvereis;resolverão;resolva;resolvas;resolva;resolvamos;resolvais;resolvam;resolvesse;resolvesses;resolvesse;resolvêssemos;resolvêsseis;resolvessem;resolver;resolveres;resolver;resolvermos;resolverdes;resolverem;resolver;resolveres;resolver;resolvermos;resolverdes;resolverem;resolveria;resolverias;resolveria;resolveríamos;resolveríeis;resolveriam;resolve;resolva;resolvamos;resolvei;resolvam;resolvas;resolva;resolvamos;resolvais;resolvam;resolvendo;resolvido
participar;;;R;participo;participas;participa;participamos;participais;participam;participei;participaste;participou;participámos;participastes;participaram;participava;participavas;participava;participávamos;participáveis;participavam;participara;participaras;participara;participáramos;participáreis;participaram;participarei;participarás;participará;participaremos;participareis;participarão;participe;participes;participe;participemos;participeis;participem;participasse;participasses;participasse;participássemos;participásseis;participassem;participar;participares;participar;participarmos;participardes;participarem;participar;participares;participar;participarmos;participardes;participarem;participaria;participarias;participaria;participaríamos;participaríeis;participariam;participa;participe;participemos;participai;participem;participes;participe;participemos;participeis;participem;participando;participado
utilizar;;;R;utilizo;utilizas;utiliza;utilizamos;utilizais;utilizam;utilizei;utilizaste;utilizou;utilizámos;utilizastes;utilizaram;utilizava;utilizavas;utilizava;utilizávamos;utilizáveis;utilizavam;utilizara;utilizaras;utilizara;utilizáramos;utilizáreis;utilizaram;utilizarei;utilizarás;utilizará;utilizaremos;utilizareis;utilizarão;utilize;utilizes;utilize;utilizemos;utilizeis;utilizem;utilizasse;utilizasses;utilizasse;utilizássemos;utilizásseis;utilizassem;utilizar;utilizares;utilizar;utilizarmos;utilizardes;utilizarem;utilizar;utilizares;utilizar;utilizarmos;utilizardes;utilizarem;utilizaria;utilizarias;utilizaria;utilizaríamos;utilizaríeis;utilizariam;utiliza;utilize;utilizemos;utilizai;utilizem;utilizes;utilize;utilizemos;utilizeis;utilizem;utilizando;utilizado
provocar;;;R;provoco;provocas;provoca;provocamos;provocais;provocam;provoquei;provocaste;provocou;provoquámos;provocastes;provocaram;provocava;provocavas;provocava;provoquávamos;provoquáveis;provocavam;provocara;provocaras;provocara;provoquáramos;provoquáreis;provocaram;provocarei;provocarás;provocará;provocaremos;provocareis;provocarão;provoque;provoques;provoque;provoquemos;provoqueis;provoquem;provocasse;provocasses;provocasse;provoquássemos;provoquásseis;provocassem;provocar;provocares;provocar;provocarmos;provocardes;provocarem;provocar;provocares;provocar;provocarmos;provocardes;provocarem;provocaria;provocarias;provocaria;provocaríamos;provocaríeis;provocariam;provoca;provoque;provoquemos;provocai;provoquem;provoques;provoque;provoquemos;provoqueis;provoquem;provocando;provocado
compreender;;;R;compreendo;compreendes;compreende;compreendemos;compreendeis;compreendem;compreendi;compreendeste;compreendeu;compreendemos;compreendestes;compreenderam;compreendia;compreendias;compreendia;compreendíamos;compreendíeis;compreendiam;compreendera;compreenderas;compreendera;compreendêramos;compreendêreis;compreenderam;compreenderei;compreenderás;compreenderá;compreenderemos;compreendereis;compreenderão;compreenda;compreendas;compreenda;compreendamos;compreendais;compreendam;compreendesse;compreendesses;compreendesse;compreendêssemos;compreendêsseis;compreendessem;compreender;compreenderes;compreender;compreendermos;compreenderdes;compreenderem;compreender;compreenderes;compreender;compreendermos;compreenderdes;compreenderem;compreenderia;compreenderias;compreenderia;compreenderíamos;compreenderíeis;compreenderiam;compreende;compreenda;compreendamos;compreendei;compreendam;compreendas;compreenda;compreendamos;compreendais;compreendam;compreendendo;compreendido
estabelecer;;;R;estabeleço;estabeleces;estabelece;estabelecemos;estabeleceis;estabelecem;estabeleci;estabeleceste;estabeleceu;estabelecemos;estabelecestes;estabeleceram;estabelecia;estabelecias;estabelecia;estabelecíamos;estabelecíeis;estabeleciam;estabelecera;estabeleceras;estabelecera;estabelecêramos;estabelecêreis;estabeleceram;estabelecerei;estabelecerás;estabelecerá;estabeleceremos;estabelecereis;estabelecerão;estabeleça;estabeleças;estabeleça;estabeleçamos;estabeleçais;estabeleçam;estabelecesse;estabelecesses;estabelecesse;estabelecêssemos;estabelecêsseis;estabelecessem;estabelecer;estabeleceres;estabelecer;estabelecermos;estabelecerdes;estabelecerem;estabelecer;estabeleceres;estabelecer;estabelecermos;estabelecerdes;estabelecerem;estabeleceria;estabelecerias;estabeleceria;estabeleceríamos;estabeleceríeis;estabeleceriam;estabelece;estabeleça;estabeleçamos;estabelecei;estabeleçam;estabeleças;estabeleça;estabeleçamos;estabeleçais;estabeleçam;estabelecendo;estabelecido
pretender;;;R;pretendo;pretendes;pretende;pretendemos;pretendeis;pretendem;pretendi;pretendeste;pretendeu;pretendemos;pretendestes;pretenderam;pretendia;pretendias;pretendia;pretendíamos;pretendíeis;pretendiam;pretendera;pretenderas;pretendera;pretendêramos;pretendêreis;pretenderam;pretenderei;pretenderás;pretenderá;pretenderemos;pretendereis;pretenderão;pretenda;pretendas;pretenda;pretendamos;pretendais;pretendam;pretendesse;pretendesses;pretendesse;pretendêssemos;pretendêsseis;pretendessem;pretender;pretenderes;pretender;pretendermos;pretenderdes;pretenderem;pretender;pretenderes;pretender;pretendermos;pretenderdes;pretenderem;pretenderia;pretenderias;pretenderia;pretenderíamos;pretenderíeis;pretenderiam;pretende;pretenda;pretendamos;pretendei;pretendam;pretendas;pretenda;pretendamos;pretendais;pretendam;pretendendo;pretendido
iniciar;;;R;inicio;inicias;inicia;iniciamos;iniciais;iniciam;iniciei;iniciaste;iniciou;iniciámos;iniciastes;iniciaram;iniciava;iniciavas;iniciava;iniciávamos;iniciáveis;iniciavam;iniciara;iniciaras;iniciara;iniciáramos;iniciáreis;iniciaram;iniciarei;iniciarás;iniciará;iniciaremos;iniciareis;iniciarão;inicie;inicies;inicie;iniciemos;inicieis;iniciem;iniciasse;iniciasses;iniciasse;iniciássemos;iniciásseis;iniciassem;iniciar;iniciares;iniciar;iniciarmos;iniciardes;iniciarem;iniciar;iniciares;iniciar;iniciarmos;iniciardes;iniciarem;iniciaria;iniciarias;iniciaria;iniciaríamos;iniciaríeis;iniciariam;inicia;inicie;iniciemos;iniciai;iniciem;inicies;inicie;iniciemos;inicieis;iniciem;iniciando;iniciado
perceber;;;R;percebo;percebes;percebe;percebemos;percebeis;percebem;percebi;percebeste;percebeu;percebemos;percebestes;perceberam;percebia;percebias;percebia;percebíamos;percebíeis;percebiam;percebera;perceberas;percebera;percebêramos;percebêreis;perceberam;perceberei;perceberás;perceberá;perceberemos;percebereis;perceberão;perceba;percebas;perceba;percebamos;percebais;percebam;percebesse;percebesses;percebesse;percebêssemos;percebêsseis;percebessem;perceber;perceberes;perceber;percebermos;perceberdes;perceberem;perceber;perceberes;perceber;percebermos;perceberdes;perceberem;perceberia;perceberias;perceberia;perceberíamos;perceberíeis;perceberiam;percebe;perceba;percebamos;percebei;percebam;percebas;perceba;percebamos;percebais;percebam;percebendo;percebido
garantir;;;R;garanto;garantes;garante;garantimos;garantis;garantem;garanti;garantiste;garantiu;garantimos;garantistes;garantiram;garantia;garantias;garantia;garantíamos;garantíeis;garantiam;garantira;garantiras;garantira;garantíramos;garantíreis;garantiram;garantirei;garantirás;garantirá;garantiremos;garantireis;garantirão;garanta;garantas;garanta;garantamos;garantais;garantam;garantisse;garantisses;garantisse;garantíssemos;garantísseis;garantissem;garantir;garantires;garantir;garantirmos;garantirdes;garantirem;garantir;garantires;garantir;garantirmos;garantirdes;garantirem;garantiria;garantirias;garantiria;garantiríamos;garantiríeis;garantiriam;garante;garanta;garantamos;garanti;garantam;garantas;garanta;garantamos;garantais;garantam;garantindo;garantido
observar;;;R;observo;observas;observa;observamos;observais;observam;observei;observaste;observou;observámos;observastes;observaram;observava;observavas;observava;observávamos;observáveis;observavam;observara;observaras;observara;observáramos;observáreis;observaram;observarei;observarás;observará;observaremos;observareis;observarão;observe;observes;observe;observemos;observeis;observem;observasse;observasses;observasse;observássemos;observásseis;observassem;observar;observares;observar;observarmos;observardes;observarem;observar;observares;observar;observarmos;observardes;observarem;observaria;observarias;observaria;observaríamos;observaríeis;observariam;observa;observe;observemos;observai;observem;observes;observe;observemos;observeis;observem;observando;observado
aceitar;;;I;aceito;aceitas;aceita;aceitamos;aceitais;aceitam;aceitei;aceitaste;aceitou;aceitámos;aceitastes;aceitaram;aceitava;aceitavas;aceitava;aceitávamos;aceitáveis;aceitavam;aceitara;aceitaras;aceitara;aceitáramos;aceitáreis;aceitaram;aceitarei;aceitarás;aceitará;aceitaremos;aceitareis;aceitarão;aceite;aceites;aceite;aceitemos;aceiteis;aceitem;aceitasse;aceitasses;aceitasse;aceitássemos;aceitásseis;aceitassem;aceitar;aceitares;aceitar;aceitarmos;aceitardes;aceitarem;aceitar;aceitares;aceitar;aceitarmos;aceitardes;aceitarem;aceitaria;aceitarias;aceitaria;aceitaríamos;aceitaríeis;aceitariam;aceita;aceite;aceitemos;aceitai;aceitem;aceites;aceite;aceitemos;aceiteis;aceitem;aceitando;aceitado|aceito
resultar;;;R;resulto;resultas;resulta;resultamos;resultais;resultam;resultei;resultaste;resultou;resultámos;resultastes;resultaram;resultava;resultavas;resultava;resultávamos;resultáveis;resultavam;resultara;resultaras;resultara;resultáramos;resultáreis;resultaram;resultarei;resultarás;resultará;resultaremos;resultareis;resultarão;resulte;resultes;resulte;resultemos;resulteis;resultem;resultasse;resultasses;resultasse;resultássemos;resultásseis;resultassem;resultar;resultares;resultar;resultarmos;resultardes;resultarem;resultar;resultares;resultar;resultarmos;resultardes;resultarem;resultaria;resultarias;resultaria;resultaríamos;resultaríeis;resultariam;resulta;resulte;resultemos;resultai;resultem;resultes;resulte;resultemos;resulteis;resultem;resultando;resultado
reconhecer;;;R;reconheço;reconheces;reconhece;reconhecemos;reconheceis;reconhecem;reconheci;reconheceste;reconheceu;reconhecemos;reconhecestes;reconheceram;reconhecia;reconhecias;reconhecia;reconhecíamos;reconhecíeis;reconheciam;reconhecera;reconheceras;reconhecera;reconhecêramos;reconhecêreis;reconheceram;reconhecerei;reconhecerás;reconhecerá;reconheceremos;reconhecereis;reconhecerão;reconheça;reconheças;reconheça;reconheçamos;reconheçais;reconheçam;reconhecesse;reconhecesses;reconhecesse;reconhecêssemos;reconhecêsseis;reconhecessem;reconhecer;reconheceres;reconhecer;reconhecermos;reconhecerdes;reconhecerem;reconhecer;reconheceres;reconhecer;reconhecermos;reconhecerdes;reconhecerem;reconheceria;reconhecerias;reconheceria;reconheceríamos;reconheceríeis;reconheceriam;reconhece;reconheça;reconheçamos;reconhecei;reconheçam;reconheças;reconheça;reconheçamos;reconheçais;reconheçam;reconhecendo;reconhecido
